,num,yyyymmdd,names,title,text,yyyymm,mm,mmdd,name
426,426,2019.07.12.,위키트리,"노보텔 앰배서더 동대문, 루프톱에서 카리브해의 정취 만끽",술인 ‘럼’을 주제로 한 ‘서머 인 캐리비안’ 프로모션을 선보인다고 12일 밝혔다.이번 프로모션은... 사랑했던 ‘럼’을 이용한 칵테일 3종과 이와 어울리는 쿠반 스낵을 즐길 수 있는 것이 특징이다....,2019.07,07,07.12,럼
427,427,2019.07.12.,아웃도어뉴스,계곡에서 모히토 한잔?,"럼 베이스로 민트와 라임, 잘게 부순 얼음을 가득 채운 시원한 칵테일을 들고 계곡에 발을 담그고 벌컥벌컥 들이키면 어디든 몰디브가 된다. 준비물 잘게 부순 얼음 바카디 화이트 럼 45~60ml 라임 1/2개 황설탕 3tsp...",2019.07,07,07.12,럼
428,428,2019.07.11.,가톨릭평화방송·평화신문,"[인터뷰] 최병성 ""지자체 막개발 조장, 주민들은 피눈물""",시골에 가면 옛날에 경사진 다랭이논처 럼 옹벽을 다랭이논처럼 지어서 집들을 올려 쌓는 거죠. 만약에 지진이 한번 낫다 하면 용인시는 천재가 아닌 인재로 인해서 재난의 도시가 될 수밖에 없는 현실들. 이런 것들이...,2019.07,07,07.11,럼
429,429,2019.07.10.,한국경제언론사 선정,"와글와글｜베트남 폭행 피해 여성, 알고보니 불륜녀?…전 부인 ""똑같은 짐승""","이 일로 이낙연 총리는 방한 중인 베트남 럼 장관을 만나 사과했고, 정치권의 여러 의원들, 지자체 단체장, 인권단체들까지 한 목소리로 결혼 이주 여성의 인권 사각지대에 대해 지적하며 제도적인 장치의 미비함, 국적...",2019.07,07,07.10,럼
430,430,2019.07.10.,allure,"녹지 마, 녹지 마","산처럼 듬뿍 쌓은 눈꽃 얼음에 대만산 흑당 시럽과 인절미 소스를 고루 뿌려 달고도 고소하다. 꼬치에... 작은 그릇에 베리 콤포트, 럼 시럽, 헤이즐넛을 함께 제공하니 취향껏 즐겨보길. 주소 서울 강남구 테헤란로 606...",2019.07,07,07.10,럼
431,431,2019.07.09.,시사포커스,"[단독] '베트남 여성 폭행' 전처, ""그녀는 불륜 저지른 내연녀…가정 파탄""","이와 관련, 이낙연 국무총리는 지난 8일 정부서울청사에서 또 럼(To Lam) 베트남 공안부 장관을 접견한... 또한 베트남 여성은 ""XX오빠 아들 싫어. 너도 알지?"", ""그럼 이혼해"", ""아줌마 너무 바보""라는 말을 하며 농락했다.",2019.07,07,07.09,럼
432,432,2019.07.09.,오마이뉴스언론사 선정,"[허시명의 술술술] '참이슬, 처음처럼'은 경쟁 상대가 아니라는 소주 회사","게다가 소주는 위스키나 보드카처럼 독하지 않다. 그래서 소주는 훨씬 소셜하고 사교적이다. 이 때문에... 보드카처럼 담백한 듯하지만 그래도 뭔가 들어 있었다. 쌀과 누룩으로 소주를 만들어 보았는데, 맛이...",2019.07,07,07.09,럼
433,433,2019.07.09.,YTN,베트남 아내 폭행 파문 일파만파,이낙연 총리는 어제 럼 베트남 공안부 장관을 접견하고 이번 폭행 사건에 대해 사과했습니다. 민갑룡 경찰청장도 럼 장관과 회담에서 철저한 수사와 피해 회복을 약속했습니다. 이에 대해 럼 장관은 불미스런 일이...,2019.07,07,07.09,럼
434,434,2019.07.09.,전남일보,"이 총리, 베트남 공안장관 만나 ""결혼이주 여성 폭행 사과""","이 총리는 이날 오후 정부서울청사에서 또 럼 베트남 공안부장관을 만난 뒤 자신의 SNS(사회관계망서비스)에... 또 럼 장관은 ""한국 정부와 경찰이 관심을 갖고 이 사건을 처리하고 있는 데 사의를 표했다""고 총리실은...",2019.07,07,07.09,럼
435,435,2019.07.09.,시사저널,총리 사과로 성난 베트남 민심 달랠 수 있을까,"李총리, 방한 중인 럼 장관 만나 '베트남인 아내 폭행 사건' 사과…""미안한 마음 앞선다"" 이낙연 국무총리가 7월8일 방한 중인 베트남 공안부 장관을 만나 베트남인 결혼이주 여성 폭행 사건에 대해 사과했다. 이 총리는...",2019.07,07,07.09,럼
436,436,2019.07.09.,YTN언론사 선정,베트남 아내 폭행 파문 일파만파,이낙연 총리는 어제 럼 베트남 공안부 장관을 접견하고 이번 폭행 사건에 대해 사과했습니다. 민갑룡 경찰청장도 럼 장관과 회담에서 철저한 수사와 피해 회복을 약속했습니다. 이에 대해 럼 장관은 불미스런 일이...,2019.07,07,07.09,럼
437,437,2019.07.09.,스타뉴스,"'베트남 여성 폭행사건' 韓정부 ""유감..엄정 수사 할 것""","이낙연 국무총리는 지난 8일 또 럼 베트남 공안부 장관을 만나 최근 발생한 베트남 결혼 이주여성 가정... 또 럼 장관은 ""그 같은 사건이 발생해 안타깝다""며 ""한국 정부와 경찰이 관심을 갖고 사건을 처리하고 있어...",2019.07,07,07.09,럼
438,438,2019.07.09.,정책브리핑,[보도자료] 베트남 공안부장관 접견,"이낙연 국무총리, 「또 럼」베트남 공안부장관 접견 □ 이낙연 국무총리는 7.8(월) 오후 정부서울청사에서 「또 럼(To Lam)」베트남 공안부 장관을 접견하고, △한-베트남 관계 △상대국 거주 양국 국민 보호 강화 △한반도...",2019.07,07,07.09,럼
439,439,2019.07.09.,하퍼스바자,문학적 아바나,"그는 1965년에 창간된 쿠바 공산당의 일간지 <그라마(Gramma)>, 폐지처럼 오래된 신문을 팔고 있었다. 나는... 전방에는 마치 카디스의 산타 카탈리나 성(Castillo de Santa Catalina)처럼 생긴 모로 요새공원이 있었다....",2019.07,07,07.09,럼
440,440,2019.07.09.,이데일리,"이낙연 총리, 베트남 공안부장관 접견..""결혼 이주여성 폭행사건 안타까워""",이 총리는 8일 정부서울청사에서 또 럼(To Lam) 베트남 공안부 장관을 접견한 자리에서 “우리 정부가 한국거주 베트남 국민의 안전과 인권보호에 보다 많은 노력을 기울이겠다”면서 이같이 밝혔다. 또 럼 장관은 한...,2019.07,07,07.09,럼
441,441,2019.07.08.,YTN,"이낙연 총리, ""베트남 이주여성 폭행사건 안타깝다""",이낙연 국무총리는 오늘 방한 중인 '또 럼' 베트남 공안부 장관을 접견한 자리에서 베트남 결혼 이주여성... 이에 대해 럼 장관은 이 같은 폭행 사건이 발생한 데 대해 안타깝다고 말하고 한국 정부와 경찰이 관심을 갖고 잘...,2019.07,07,07.08,럼
442,442,2019.07.08.,뉴시스,"이 총리, 베트남 공안장관 만나 ""결혼이주 여성 폭행 사과""(종합)","이 총리는 이날 오후 정부서울청사에서 또 럼 베트남 공안부장관을 만난 뒤 자신의 SNS(사회관계망서비스)에... 또 럼 장관은 ""한국 정부와 경찰이 관심을 갖고 이 사건을 처리하고 있는 데 사의를 표했다""고 총리실은...",2019.07,07,07.08,럼
443,443,2019.07.08.,뉴스1,"베트남 공안 장관 만난 李총리 ""이주여성 폭행 안타깝다""",이낙연 국무총리가 또 럼 베트남 공안부 장관을 만나 최근 베트남 결혼 이주여성 폭행 사건이 발생한 데 대해... 8일 총리실에 따르면 이 총리는 이날 정부서울청사에서 또 럼 베트남 공안부 장관을 접견한 자리에서 베트남...,2019.07,07,07.08,럼
444,444,2019.07.08.,YTN,"이낙연 총리, ""베트남 이주여성 폭행사건 안타깝다""",이낙연 국무총리는 오늘 방한 중인 '또 럼' 베트남 공안부 장관을 접견한 자리에서 베트남 결혼 이주여성... 이에 대해 럼 장관은 이 같은 폭행 사건이 발생한 데 대해 안타깝다고 말하고 한국 정부와 경찰이 관심을 갖고 잘...,2019.07,07,07.08,럼
445,445,2019.07.08.,머니투데이,베트남 장관만난 이 총리 '베트남 여성 폭행' 사과,"[이낙연 국무총리, 또 럼 공안부 장관 면담 ""베트남인 안전과 인권보호 노력하겠다""] 이낙연 국무총리가 8일 또 럼 베트남 공안부 장관을 만나 최근 발생한 베트남 결혼 이주여성 가정 폭력사건을 사과했다. 이낙연...",2019.07,07,07.08,럼
446,446,2019.07.08.,뉴시스,"이 총리, 베트남 공안장관 만나 ""결혼이주 여성 폭행 사과""","이 총리는 이날 오후 정부서울청사에서 또 럼 베트남 공안부장관을 만난 뒤 자신의 SNS(사회관계망서비스)에 ""결혼이주 베트남 여성 폭행에 대해 사과드렸다""고 밝혔다. 이어 ""양국 간 교류협력의 확대를 위해 함께...",2019.07,07,07.08,럼
447,447,2019.07.08.,연합뉴스,"이총리, 베트남 공안장관 만나 ""이주여성 폭행사건 안타깝다""","이 총리는 이날 오후 정부서울청사에서 또 럼 장관을 접견한 자리에서 ""베트남 정부 요인들을 자주 만나서 반갑지만 이번에는 미안한 마음이 앞선다""며 이같이 말했다. 그는 ""앞으로는 한국에 사는 베트남 국민들의 인권...",2019.07,07,07.08,럼
448,448,2019.07.08.,디지틀조선일보,버블티·밀크티·애프터눈 티 등…‘티(Tea)음료가 뜬다’,JW 메리어트 서울의 ‘더 라운지’에서는 싱그러운 여름처럼 초록빛을 가득 머금은 ‘그린 애프터눈 티... 민트 럼이 더해진 ‘그린 애플 화이트 초코’와 ‘그린 애플 민트 무스’ 등을 포함한 디저트가 1인당 8종씩...,2019.07,07,07.08,럼
449,449,2019.07.04.,스포츠조선,"[SC셀럽]식음료업계, 티(Tea)음료가 뜬다","이처럼 프리미엄 잎차를 베이스로 하는 버블티, 밀크티 시장은 일시적 유행이 아닌 커피, 주스, 스무디 등과... JW 메리어트 서울의 '더 라운지'에서는 싱그러운 여름처럼 초록빛을 가득 머금은 '그린 애프터눈 티 세트'를...",2019.07,07,07.04,럼
450,450,2019.07.04.,리얼푸드,"[리얼푸드]레이즌, 오렌지나 와인에 절여 활용하세요","국내에서는 잘 알려지지 않았으나 레이즌은 주로 럼(rum, 사탕수수를 원료로 하는 증류주)에 불려 요리에 자주 사용된다. 럼 대신 보드카나 와인 등에 절여도 맛이 좋다. 다만 럼이나 와인에 절인 레이즌을 요리에 사용할...",2019.07,07,07.04,럼
451,451,2019.07.04.,미주중앙일보,[칵테일 토크] 올드패션드,"럼 또는 서던 컴퍼트(Southern Comfort: 미국 위스키를 베이스로 각종 과일과 향료로 만들어진 리큐르)를 사용해도 무방하나, 이 때는 그냥 올드패션드가 아니고 그 앞에 대신한 술의 이름을 붙인다. 진이나 럼을...",2019.07,07,07.04,럼
452,452,2019.07.04.,마켓뉴스,"식음료업계, 커피보다 프리미엄 티(Tea)음료에 주력하는 이유는?","이처럼 프리미엄 잎차를 베이스로 하는 버블티, 밀크티 시장은 일시적 유행이 아닌 커피, 주스, 스무디 등과... JW 메리어트 서울의 ‘더 라운지’에서는 싱그러운 여름처럼 초록빛을 가득 머금은 ‘그린 애프터눈 티...",2019.07,07,07.04,럼
453,453,2019.07.04.,위키트리,"“프리미엄 티(Tea) 음료가 뜬다” 식음료업계, 커피 시장에 변화의 바람 불어...","이처럼 프리미엄 잎차를 베이스로 하는 버블티, 밀크티 시장은 일시적 유행이 아닌 커피, 주스, 스무디 등과... JW 메리어트 서울의 ‘더 라운지’에서는 싱그러운 여름처럼 초록빛을 가득 머금은 그린 애프터눈 티 세트를...",2019.07,07,07.04,럼
454,454,2019.07.04.,FETV,"커피보다 티음료에 주력하는 이유는?, 티(Tea)음료가 뜬다",JW 메리어트 서울의 ‘더 라운지’에서는 싱그러운 여름처럼 초록빛을 가득 머금은 ‘그린 애프터눈 티... 민트 럼이 더해진 ‘그린 애플 화이트 초코’와 ‘그린 애플 민트 무스’ 등을 포함한 디저트가 1인당 8종씩...,2019.07,07,07.04,럼
455,455,2019.07.04.,아시아경제,"커피 보다 차…""티음료에 꽂혔다…프리미엄 차 문화 선도""","이처럼 프리미엄 잎차를 베이스로 하는 버블티, 밀크티 시장은 일시적 유행이 아닌 커피, 주스, 스무디 등과... JW 메리어트 서울의 ‘더 라운지’에서는 싱그러운 여름처럼 초록빛을 가득 머금은 ‘그린 애프터눈 티...",2019.07,07,07.04,럼
456,456,2019.07.04.,로이슈,커피보다 티음료에 주력하는 이유…티(Tea)음료가 뜬다,"이처럼 프리미엄 잎차를 베이스로 하는 버블티, 밀크티 시장은 일시적 유행이 아닌 커피, 주스, 스무디 등과... JW 메리어트 서울의 ‘더 라운지’에서는 싱그러운 여름처럼 초록빛을 가득 머금은 ‘그린 애프터눈 티...",2019.07,07,07.04,럼
457,457,2019.07.03.,매일경제,"덕후를 사로잡다 ‘서울국제도서전’, ‘서울국제주류박람회’ 책과 술을 함께...","지하철 출구를 나와서 썰물처럼 같은 목적지를 향하고 있는 사람들이 곳곳에 보이자 내 몫의 즐길 거리가... (와인·사케·중국술·보드카·럼·진 등)가 참가해 수입주류와의 경쟁력을 시험하고, 소비자들에게 다양한...",2019.07,07,07.03,럼
458,458,2019.07.03.,M이코노미,‘2019 M이코노미 봉사단’ 아름다운 섬 ‘대마도(大馬島)’ 찾아 가다,그럼에도 불구하고 보고 즐길 거리가 있다면 사람들은 그 장소를 찾는다. 대마도와 얼마 떨어져 있지 않은... 국회의원님 등 여러 분들이 애써주신 덕분에 우리처럼 섬에 사는 사람들이 물이라도 편하게 먹을 수 있을 것...,2019.07,07,07.03,럼
459,459,2019.07.02.,에이빙뉴스,"[SIWS 2019 영상] 로엔히, 술의 나라 독일에서 인정받은 럼 3종 선봬","Mauritius'사의 럼 3종을 선보였다. 이 회사는 유명 마스터 블렌더인 'Frederic Bestel'가 대표로 있는 회사로... 이 회사 관계자는 '럼 문화를 확대하기 위해 회사 전시회 참가를 비롯해 무료 시음회, 다트 대회에...",2019.07,07,07.02,럼
460,460,2019.07.02.,제주MBC,"(리포트) 원희룡 지사 ""제2공항 정상 추진""","◀ＩＮＴ▶ 원희룡 제주도지사 ""도의회는 도의회 대로, 도지사는 도지사 대로 종합적인 검토를 할 텐데 저희가 약속했던 거처 럼 제주의 핵심가치 우리 제주의 자연환경을 보 전해야 한다는 것 제주의 가치에 걸맞은 투자...",2019.07,07,07.02,럼
461,461,2019.07.02.,소믈리에타임즈,중국 백주의 시대... '세계에서 가장 가치 있는 주류 브랜드 TOP 10',"1% 8위 : 바카디 (쿠바) 스피리츠 종류 : 럼 브랜드 가치 : 3억 6,570만 달러 (한화 약 4,238억 973만 원) 전년도 대비 가치 상승 : +53.8% 7위 : 헤네시 (프랑스) 스피리츠 종류 : 코냑 브랜드 가치 : 3억 8,690만 달러...",2019.07,07,07.02,럼
462,462,2019.07.01.,서울와이어,"안양1번가에서 맛보는 인도 현지의 맛, 안양 맛집 '수버 인도식당'…모임, 데...","인도 맥주인 '킹피셔', 인도의 전통 술 '올드 몽크 럼', 네팔 전통 술 '쿠쿠리' 등 다양한 인도, 네팔 주류를 판매하고 있다. 식당이 건물 4층 전체를 사용하는 덕분에 넓고 쾌적한 공간에서 식사할 수 있다. 인도 현지 분위기로...",2019.07,07,07.01,럼
463,463,2019.07.01.,서울와이어,"안양1번가에서 맛보는 인도 현지의 맛, 안양 맛집 '수버 인도식당'…모임, 데...","인도 맥주인 '킹피셔', 인도의 전통 술 '올드 몽크 럼', 네팔 전통 술 '쿠쿠리' 등 다양한 인도, 네팔 주류를 판매하고 있다. 식당이 건물 4층 전체를 사용하는 덕분에 넓고 쾌적한 공간에서 식사할 수 있다. 인도 현지 분위기로...",2019.07,07,07.01,럼
464,464,2019.06.25.,이뉴스투데이,"""덥다 더워"" 호텔가, 빙수·보양식 맛 보세요","다 먹을 때까지 균등한 맛이 유지되며 입 안에서 솜사탕처럼 사르르 녹는 부드러운 식감이 장점이다. 워커힐... 그 중 크렘 브륄레 빙수는 차가운 커스터드 크림과 헤이즐넛 아이스크림, 럼 시럽 조화가 장점이다. 빙수...",2019.06,06,06.25,럼
465,465,2019.06.24.,시사매거진,"자연의 단맛 '캘리포니아 레이즌', 안심하고 즐길 수 있는 건강 간식!","이와 더불어 캘리포니아 레이즌을 럼, 오렌지주스에 절일 경우 촉촉하면서도 쫄깃한 식감을 만들 수 있고, 여기에 크림치즈나 버터, 잼을 섞어 빵에 바르면 상큼한 맛, 은근한 단맛을 더해 더욱 맛있는 간식이 완성된다.",2019.06,06,06.24,럼
466,466,2019.06.24.,베타뉴스,"건강을 생각한 영양 간식 '캘리포니아 레이즌', 자연적인 단맛 담아","또, 캘리포니아 레이즌을 럼, 오렌지주스에 절일 경우 촉촉하면서도 쫄깃한 식감을 만들 수 있고, 여기에 크림치즈, 버터, 잼을 섞어 빵에 바르면 상큼한 맛, 은근한 단맛을 더해 더욱 맛있는 간식을 완성할 수 있다.",2019.06,06,06.24,럼
467,467,2019.06.24.,아시아타임즈,"건강 간식 '캘리포니아 레이즌', 인공적이지 않은 자연의 단맛 선사","캘리포니아 레이즌을 럼, 오렌지주스에 절일 경우 촉촉하면서도 쫄깃한 식감을 만들 수 있으며 여기에 크림치즈나 버터, 잼을 섞어 빵에 바르면 상큼한 맛, 은근한 단맛을 더해 더욱 맛있는 간식이 완성된다.",2019.06,06,06.24,럼
468,468,2019.06.24.,마리끌레르,언니들의 슬기로운 커리어 클리닉,유 리처럼 여린 제 감정을 잘 컨트롤해서 언니들처럼 멘탈갑이 되어 그만 울고 싶어요. 헬프 미 플리즈. from 눈물신입 님 문 대리 저도 눈물이 많아서 눈물신입 님의 글에 격하 게 공감해요. 한번은 일이 너무 몰려 쌓이기만...,2019.06,06,06.24,럼
469,469,2019.06.23.,엑스포츠뉴스,"""목숨걸고 노래""…'교태발라더' 정승환, 차세대 공연 장인 [종합]","인서트 필름은 비하인드더신의 이래경 감독이 한 편의 단편영화ㅓ럼 표현해냈다. 정승환의 모습은 거의 보이지 않고 그의 목소리와 화려한 레이저가 공연장을 가득 채우는 연출이 인상적이었다. 정승환은 ""딱 처음...",2019.06,06,06.23,럼
470,470,2019.06.21.,아트인사이트,[Opinion] 닥치고 - 스쿨 오브 락 [공연],"웨버의 다른 흥행 작처 럼, <스쿨 오브 락> 또한 작품성과 대증 성, 두 마리 토끼를 모두 잡은 보기 드문... 정해진 규칙에만 익숙하던 아이들은 'Stick it to the man' 이후 쳇바퀴처럼 돌아가는 일상과 무관심한 부모님, 무한...",2019.06,06,06.21,럼
471,471,2019.06.21.,데일리시큐,"건강 간식 ‘캘리포니아 레이즌’, 자연의 단맛으로 다양하게 즐길 수 있어","또 캘리포니아 레이즌을 럼, 오렌지주스에 절일 경우 촉촉하면서도 쫄깃한 식감을 만들 수 있다. 여기에 크림치즈나 버터, 잼을 섞어 빵에 바르면 상큼한 맛, 은근한 단맛을 더해주어 훌륭한 간식을 즐길 수 있다.",2019.06,06,06.21,럼
472,472,2019.06.21.,공감신문,"온 가족을 위한 자연의 단맛, 건강 간식 '캘리포니아 레이즌'","또 캘리포니아 레이즌을 럼, 오렌지주스에 절일 경우 촉촉하면서도 쫄깃한 식감을 만들어낸다. 여기에 크림치즈나 버터, 잼을 섞어 빵에 바르면 상큼한 맛, 은근한 단맛을 더해 더욱 맛있는 간식을 즐길 수 있다.",2019.06,06,06.21,럼
473,473,2019.06.20.,ZDNet Korea,"[신간소개] 쿠바, 감성과 힐링의 시간","쿠바의 낭만을 사랑했고, 쿠바의 럼을 사랑했던 소설가 헤밍웨이 얘기도 흥미롭다. 쿠바의 매력에 푹 빠졌던 헤밍웨이는, 혁명 이후 피델 카스트로가 정권을 잡자 미련 없이 그 곳을 떠났다. 혁명과 낭만을 사랑했던...",2019.06,06,06.20,럼
474,474,2019.06.20.,머니S,"파스쿠찌, 이탈리아 콘셉트 특화 매장 개점",대표 메뉴는 아쌈(Assam)티에 달콤한 사과즙과 럼(Rum)을 넣어 만든 ‘애플 차이 칵테일’로 저녁 식사 전 간단한 음료와 주전부리를 즐기는 이탈리아의 ‘아페르티보(Aperitivo)’ 문화를 적용한 메뉴다. 이탈리아 콘셉트에...,2019.06,06,06.20,럼
475,475,2019.06.20.,동아일보,전세기 타고 11시간… 그 신비로운 세상 속으로,"‘와디 럼’, 몸이 붕 뜨는 바다 ‘사해’ 등 진귀한 경관을 만나볼 수 있는 관광지로 유명하다. 또 진귀한... 이 상품은 와디럼 사막캠프가 포함된 379만 원짜리 프리미엄 상품과 페트라 2박과 아카바 숙박 등이 포함된...",2019.06,06,06.20,럼
476,476,2019.06.20.,국제신문,[호텔가] 부산웨스틴조선호텔 오킴스 ‘모히토 콜렉션’ 外,"모히토는 럼(Rum) 베이스 칵테일의 대표 주자로 헤밍웨이가 사랑한 칵테일로도 유명하다. 럼 특유의 달콤함과 라임이 어우러진 청량감 있는 칵테일로 여름에 어울린다. 2만7000원 세금, 봉사료 포함).힐튼부산의 맥퀸즈...",2019.06,06,06.20,럼
477,477,2019.06.19.,아시아타임즈,"미얀마, 스피릿 등 일부 수입주류 허용 방침","일반적으로 위스키와 브랜디를 제외한 진, 보드카, 럼 등을 스피릿이라고 부른다. 19일(현지시간) 미얀마... 미얀마 양곤 소재 싱크탱크의 우 아웅 칸트 연구원은 ""정부의 수입규제 완화 결정에 환영한다""면서 ""현재처럼...",2019.06,06,06.19,럼
478,478,2019.06.19.,한국강사신문,"영화 <백악관 최후의 날> ""아론 에크하트, 제라드 버틀러, 모건 프리먼 주연의...","영화로는 <인카네이트>, <설리: 허드슨강의 기적>, <런던 해즈 폴른>, <마이 올 아메리칸>, <프랑켄슈타인: 불멸의 영웅>, <하드데이>, <백악관 최후의 날>, <럼 다이어리>, <래빗 홀>, <월드 인베이젼>, <굿바이 초콜릿...",2019.06,06,06.19,럼
